year_month,Country,AverageTemperature
1822-08,China,17.994
1822-08,United States,20.211
1822-09,China,12.82
1822-09,United States,15.117
1822-10,China,5.925
1822-10,United States,7.702000000000001
1822-11,China,-1.745
1822-11,United States,1.5119999999999998
1822-12,China,-8.709
1822-12,United States,-5.644
1823-01,China,-9.109
1823-01,United States,-3.994
1823-02,China,-6.11
1823-02,United States,-4.542
1823-03,China,0.8360000000000001
1823-03,United States,2.172
1823-04,China,7.403
1823-04,United States,7.855
1823-05,China,12.767
1823-05,United States,13.135
1823-06,China,18.12
1823-06,United States,19.397
1823-07,China,19.602
1823-07,United States,21.453000000000003
1823-08,China,17.686
1823-08,United States,20.076
1823-09,China,12.135000000000002
1823-09,United States,14.138
1823-10,China,5.528
1823-10,United States,7.79
1823-11,China,-1.59
1823-11,United States,1.158
1823-12,United States,-3.706
1824-01,United States,-2.7780000000000005
1824-02,United States,-2.8920000000000003
1824-03,United States,1.779
1824-04,United States,7.206
1824-05,United States,13.308
1824-06,United States,18.61
1824-07,United States,21.696
1824-08,United States,20.063
1824-09,United States,15.616
1824-10,United States,7.966
1824-11,United States,2.241
1824-12,United States,-0.7879999999999999
1825-01,Indonesia,25.915
1825-01,United States,-2.982
1825-02,Indonesia,25.385
1825-02,United States,-0.8140000000000001
1825-03,Indonesia,25.687
1825-03,United States,3.479
1825-04,Indonesia,26.302
1825-04,United States,9.148
1825-05,Indonesia,25.705
1825-05,United States,13.561
1825-06,Indonesia,26.161
1825-06,United States,19.291
1825-07,Indonesia,25.567
1825-07,United States,21.659
1825-08,Indonesia,24.97
1825-08,United States,20.304
1825-09,Indonesia,24.87
1825-09,United States,15.717
1825-10,Indonesia,24.788
1825-10,United States,8.367
1825-11,Indonesia,26.069000000000003
1825-11,United States,2.843
1825-12,Indonesia,25.207
1825-12,United States,-2.975
1826-01,United States,-4.033
1826-02,United States,-2.8960000000000004
1826-03,United States,2.506
1826-04,United States,7.631
1826-05,United States,15.149
1826-06,United States,18.736
1826-07,United States,21.247
1826-08,United States,19.518
1826-09,United States,14.648
1826-10,United States,8.75
1826-11,United States,3.073
1826-12,United States,-1.3809999999999998
1827-01,United States,-2.641
1827-02,United States,0.1980000000000001
1827-03,United States,3.415
1827-04,United States,8.883000000000003
1827-05,United States,14.424
1827-06,United States,18.98
1827-07,United States,21.709
1827-08,United States,20.468
1827-09,United States,15.255999999999998
1827-10,United States,8.908
1827-11,United States,2.777
1827-12,United States,-3.153
1828-01,United States,-4.3820000000000014
1828-02,United States,-1.644
1828-03,United States,3.02
1828-04,United States,7.510000000000002
1828-05,United States,14.023
1828-06,United States,20.228
1828-07,United States,21.908
1828-08,United States,20.612
1828-09,United States,14.216
1828-10,United States,8.968
1828-11,United States,3.0700000000000003
1828-12,United States,-1.347
1829-01,United States,-3.462
1829-02,United States,-4.2810000000000015
1829-03,United States,1.813
1829-04,United States,7.411
1829-05,United States,14.96
1829-06,United States,19.282
1829-07,United States,21.577
1829-08,United States,20.675
